[' best day of my life', ' worst day of my life']
[' ah even united healthcare is perpetuating the dumb male stereotype in their commercials now so cool', ' not cool that they are perpetuating the dumb male stereotype']
[' ah even united healthcare is perpetuating the dumb male stereotype in their commercials now so cool', " it's not cool that commercials are continuing to perpetuate male stereotypes"]
[" ah yes no way this psycho would have committed this crime if guns were illegal banning guns definitely would've prevented this", ' gun laws would not have prevented orlando']
[" ah yes no way this psycho would have committed this crime if guns were illegal banning guns definitely would've prevented this", " he would have found some way to kill people even if he didn't have a gun"]
[' ah yes good to see that people are still misunderstanding what gmos are', " i find it frustrating that people still don't understand gmos"]
[' ah yes good to see that people are still misunderstanding what gmos are', " stupid people still haven't understood what gmos are"]
[' ah yes i love replacing a tire at 9 in the morning', ' i hate having to replace a tire at 9 in the morning']
[' ah yes i love replacing a tire at 9 in the morning', ' i hate replacing tires especially early in the day']
[' ah joy a headache', " i'm in pain and headaches are not fun"]
[' ah joy a headache', ' i hate headache']
[" after being sick i'm making my return to working out this wednesday i'm sooo excited for another leg day", " i'm not excited for leg day"]
[" after being sick i'm making my return to working out this wednesday i'm sooo excited for another leg day", ' i hate leg day']
[' advertisers complain because we are the generation with less attention in history about 8 seconds i cannot imagine why', " i think it's the advertisers fault that we have a short attention span"]
[' advertisers complain because we are the generation with less attention in history about 8 seconds i cannot imagine why', ' the present generation is less attentive']
[' absolutely love how much doublespeak is littering the world', ' absolutely hate how much doublespeak is littering the world']
[' a short haiku it is 6 06 i have an exam today it is in 3 hours hooray for saturday exams at uni', ' a short haiku it is 6 06 i have an exam today it is in 3 hours saturday exams at uni suck']
[' a short haiku it is 6 06 i have an exam today it is in 3 hours hooray for saturday exams at uni', ' a short haiku it is 6 06 i have an exam today it is in 3 hours saturday exams at uni are the worst']
[' a real mlber would know how to stop playing tok hard not staying within himself pressing smh bench him', ' a real mlber would know how to stop playing tok hard not staying within himself pressing smh bench him']
[' a philosopher once said dat its btr to leave dan compromise so basically he meant dat agar na mile to angoor khatte hote hai', ' a philosopher once said dat its btr to leave dan compromise so basically he meant dat agar na mile to angoor khatte hote hai']
[' a nice long wait in the doctors office should calm my nerves', ' waiting at the doctor office will stress me out']
[' a nice long wait in the doctors office should calm my nerves', ' a bad long wait in the doctors office will not relax me']
[' a hate crime against sexual orientation of course nothing in the usa over the last 12 mths gave oxygen to his views', ' the usa promoted the hate crime']
[' a hate crime against sexual orientation of course nothing in the usa over the last 12 mths gave oxygen to his views', ' a culture of hatred causes violence']
[' a great way of starting your monday is to wake up late', ' waking up late is not a great way to start your day']
[' a great way of starting your monday is to wake up late', ' waking up late is a horrible way to start a day']
[" a giant spider was hanging out on the parking lot keypad this morning that's exactly how all fridays should start", " a giant spider was hanging out on the parking lot keypad this morning that's not how friday should start"]
